Voltage U1	Corriente IA
U1/V	IA/nA

31,33	45,87
31,35	46,44
31,37	46,55
31,40	47,17
31,42	47,28
31,45	47,94
31,47	48,06
31,50	48,61
31,52	48,86
31,55	49,30
31,57	49,41
31,59	49,74
31,62	49,74
31,64	49,94
31,67	49,94
31,69	50,00
31,72	50,00
31,74	50,00
31,77	50,00
31,79	50,00
31,81	50,00
31,84	50,00
31,86	50,00
31,89	50,00
31,91	50,00
31,94	50,00
31,96	50,00
31,99	50,00
32,01	50,00
32,03	50,00
32,06	50,00
32,08	50,00
32,11	50,00
32,13	50,00
32,16	50,00
32,18	50,00
32,20	50,00
32,23	50,00
32,25	50,00
32,28	50,00
32,30	50,00
32,33	50,00
32,35	50,00
32,38	50,00
32,40	50,00
32,42	50,00
32,45	50,00
32,47	50,00
32,50	50,00
32,52	50,00
32,55	50,00
32,57	50,00
32,60	50,00
32,62	50,00
32,64	50,00
32,67	50,00
32,69	50,00
32,72	50,00
32,74	50,00
32,77	50,00
32,79	50,00
32,82	50,00
32,84	50,00
32,86	50,00
32,89	50,00
32,91	50,00
32,94	50,00
32,96	50,00
32,99	50,00
33,01	50,00
33,04	50,00
33,06	50,00
33,08	50,00
33,11	50,00
33,13	50,00
33,16	50,00
33,18	50,00
33,21	50,00
33,23	50,00
33,26	50,00
33,28	50,00
33,30	50,00
33,33	50,00
33,35	50,00
33,38	50,00
33,40	50,00
33,43	50,00
33,45	50,00
33,47	50,00
33,50	50,00
33,52	50,00
33,55	50,00
33,57	50,00
33,60	50,00
33,62	50,00
33,65	50,00
33,67	50,00
33,69	50,00
33,72	50,00
33,74	50,00
33,77	50,00
33,79	50,00
33,82	50,00
33,84	50,00
33,87	50,00
33,89	50,00
33,91	50,00
33,94	50,00
33,96	50,00
33,99	50,00
34,01	50,00
34,04	50,00
34,06	50,00
34,09	50,00
34,11	50,00
34,13	50,00
34,16	50,00
34,18	50,00
34,21	50,00
34,23	50,00
34,26	50,00
34,28	50,00
34,31	50,00
34,33	50,00
34,35	50,00
34,38	50,00
34,40	50,00
34,43	50,00
34,45	50,00
34,48	50,00
34,50	50,00
34,52	50,00
34,55	50,00
34,57	50,00
34,60	50,00
34,62	50,00
34,65	50,00
34,67	50,00
34,70	50,00
34,72	50,00
