,,,t,v
,,,-0.0046,4.4
,,,-0.00456,4.4
,,,-0.00452,4.4
,,,-0.00448,4.4
,,,-0.00444,4.4
,,,-0.0044,4.4
,,,-0.00436,4.6
,,,-0.00432,4.4
,,,-0.00428,4.4
,,,-0.00424,4.4
,,,-0.0042,4.4
,,,-0.00416,4.6
,,,-0.00412,4.6
,,,-0.00408,4.6
,,,-0.00404,4.4
,,,-0.004,4.6
,,,-0.00396,4.6
,,,-0.00392,4.6
,,,-0.00388,4.6
,,,-0.00384,4.4
,,,-0.0038,4.6
,,,-0.00376,4.6
,,,-0.00372,4.6
,,,-0.00368,4.4
,,,-0.00364,4.4
